Date/Time,Hourly Space Cooling load (W),Hourly Space Heating load (W),Hourly DHW load (W)
 01/04  06:00:00,20934967.659148656,12924570.159139002,1611775.8385072376
 01/04  07:00:00,19964999.021435603,13978713.383743048,3693742.36497896
 01/04  08:00:00,19401477.37979584,13362449.77105092,4052942.7785119116
 01/04  09:00:00,20489376.893980928,13585785.359485796,4603836.738407923
 01/04  10:00:00,36882526.964990854,16199056.997627994,5464446.686200601
 01/04  11:00:00,40170649.5024046,15756997.656659227,5193456.016990095
 01/04  12:00:00,41911368.06306327,15669530.699555945,5115077.698640588
 01/04  13:00:00,41999886.62745336,15649707.493653437,5020487.86292325
 01/04  14:00:00,41943350.6318385,16121387.292621098,4780818.066550403
 01/04  15:00:00,41935967.76932896,15808855.66399051,4437517.212041552
 01/04  16:00:00,42002942.62808073,15754013.83541671,4199954.837031247
 01/04  17:00:00,41938831.36115982,15349800.630929166,3379402.214572862
 01/04  18:00:00,41972378.77600653,16114239.977729678,3297978.328708495
 01/04  19:00:00,25761349.733988818,11537931.047923263,3988342.180762307
 01/04  20:00:00,24817785.2188661,11820554.930451099,3653090.7522467775
 01/04  21:00:00,24693080.296544425,11395568.789184643,2941105.2610951164
 01/04  22:00:00,24731833.90337592,9513685.616656926,2551620.124699713
 01/04  23:00:00,24794407.298934363,9827713.751534915,2470922.0898154075
 01/04  24:00:00,24813856.88232288,10963985.961782314,1614603.1950628944
 01/05  01:00:00,24890985.563242804,11238008.35429817,711260.7514223189
 01/05  02:00:00,25002615.435220327,11290354.880341746,1099398.5152722
 01/05  03:00:00,25108195.580149114,11452075.480698572,639578.337813481
 01/05  04:00:00,25211181.53147473,11591258.62332521,921951.6585420016
 01/05  05:00:00,25309449.79652518,11571391.986305239,887337.4910331379
 01/05  06:00:00,25322943.618439373,11473386.386037244,1467441.82981426
 01/05  07:00:00,24597356.224931158,11474899.509108119,3657236.3081882433
 01/05  08:00:00,23112336.1154937,10432982.08720445,3889037.008684532
 01/05  09:00:00,22975698.746136293,11379848.518295513,4731684.4308636105
 01/05  10:00:00,42033801.76639737,14254233.445419557,5567169.0224566115
 01/05  11:00:00,47755925.870495655,13629824.127303142,5166581.029911295
 01/05  12:00:00,50455608.16215437,14055614.11715179,5253876.5493165115
 01/05  13:00:00,51387942.48885154,14089434.111899061,4947848.058001058
 01/05  14:00:00,54180375.66716905,14303385.723625716,4719575.523261429
 01/05  15:00:00,55037024.635680825,13663056.028437905,4330130.585516965
 01/05  16:00:00,55802606.74603252,13518897.404001094,4383237.290436857
 01/05  17:00:00,52998622.77430004,13729246.401857896,3379971.153768112
 01/05  18:00:00,50536512.97692628,14383729.06031825,3297457.848370854
 01/05  19:00:00,31451331.48271488,10011103.625607766,3545469.1755062244
 01/05  20:00:00,29484846.15544912,10289409.114273144,3994619.0285090473
 01/05  21:00:00,29462665.212887708,9728500.356006984,2934880.3781080856
 01/05  22:00:00,29443403.92163613,8245047.771314308,2720420.4856645972
 01/05  23:00:00,27886918.254163027,8369568.664238236,2359063.248511834
 01/05  24:00:00,24987530.631703913,9821674.64869285,1627743.391069053
 01/06  01:00:00,23391622.352338396,10377594.164870674,607339.0227687159
 01/06  02:00:00,22132416.969592344,10782887.647702448,1274165.7807362033
 01/06  03:00:00,21575756.623767905,11080907.434820479,533861.8467658501
 01/06  04:00:00,21704619.68858097,11284563.96158665,702496.7386282765
 01/06  05:00:00,21812261.847611625,11378396.718811695,1107438.8327452366
 01/06  06:00:00,22238933.997642025,11247201.982959539,1573727.0485398814
 01/06  07:00:00,22342999.941748966,11550510.788739268,3457849.685685263
 01/06  08:00:00,22413291.835832927,9589042.025293615,3801409.8384463075
 01/06  09:00:00,23150026.381347384,10039393.838061554,4984178.9227255145
 01/06  10:00:00,38433470.79665056,14570435.95266476,5428826.560959873
 01/06  11:00:00,40308969.38320297,14021326.578616522,5230529.967021678
 01/06  12:00:00,44851320.33226643,13085917.026166985,5233379.386550075
 01/06  13:00:00,53980727.82760408,12415678.047964439,4587931.205196144
 01/06  14:00:00,66260736.74907927,12528939.669018518,5101661.108959714
 01/06  15:00:00,72285397.6241018,11828244.621622214,4043701.512743924
 01/06  16:00:00,77282783.54710186,11580459.817616586,4598535.1865826575
 01/06  17:00:00,59515754.040122144,11764784.150163306,3197873.276086097
 01/06  18:00:00,48176328.83907018,12349273.828351956,3457338.067426932
 01/06  19:00:00,28096209.690490015,7949095.20435418,3612383.1221328704
 01/06  20:00:00,26170478.32194868,8484633.85829674,3997893.907994418
 01/06  21:00:00,24905662.72853621,8238488.000165494,3040760.1696623876
 01/06  22:00:00,23209505.781224392,7925636.171753041,2548963.3144258745
 01/06  23:00:00,22029894.2877116,8239518.987648633,2140385.479302776
 01/06  24:00:00,21930625.313701298,9400665.477917787,1652196.1420298738
 01/07  01:00:00,22478305.845901355,9659332.68046089,1030688.8397036163
 01/07  02:00:00,22285901.30019395,9938095.492497673,871250.9416113688
 01/07  03:00:00,21157786.69691242,10387163.419769125,868037.0525801986
 01/07  04:00:00,21040458.16463087,10505455.33556292,569348.0166714733
 01/07  05:00:00,20673375.014858074,10844738.28862434,993722.2057135988
 01/07  06:00:00,19811171.583858196,11236472.522136295,1483682.1526650705
 01/07  07:00:00,19884975.8272288,12121956.02940843,3309970.5149970003
 01/07  08:00:00,20233514.730039652,11230641.369990906,3711459.873966134
 01/07  09:00:00,20236002.805645443,9468580.593254874,3919054.007438923
 01/07  10:00:00,33858495.55852215,13358962.48326551,3493927.13041639
 01/07  11:00:00,36699045.85045471,12631666.212713925,3665754.447479861
 01/07  12:00:00,40108971.215742394,12014439.76538493,3141746.4387178263
 01/07  13:00:00,42987126.86310036,11893197.273127634,2714327.917295531
 01/07  14:00:00,42862902.52413623,11911945.070196792,2808769.5847207913
 01/07  15:00:00,42028403.57711128,11913192.099344643,2403264.6739341305
 01/07  16:00:00,41988221.34536126,11984623.372014126,2787435.1008808836
 01/07  17:00:00,42149636.24991979,12159635.657121623,2908587.849683833
 01/07  18:00:00,25147256.009883456,7452490.598572158,3203439.7069359357
 01/07  19:00:00,24288865.34575907,8865711.186966412,3170922.4959327634
 01/07  20:00:00,24297578.170776255,9344387.47138523,3259215.3396462416
 01/07  21:00:00,25056839.846580084,9540782.296924146,2930944.712762988
 01/07  22:00:00,26490456.256994862,9714920.58444573,2577268.839415819
 01/07  23:00:00,26904962.81950338,9830580.252896547,2110071.0872262693
 01/07  24:00:00,26302567.954140157,9924444.286408234,1645430.5749633051
 01/08  01:00:00,24912655.540589694,10255402.033622384,1069526.1972227406
 01/08  02:00:00,23421311.81194725,10474006.05631464,711258.1802470254
 01/08  03:00:00,22329185.303294603,10829792.453226883,887152.0748014656
 01/08  04:00:00,21122632.884786144,11350051.278682232,781286.372674354
 01/08  05:00:00,21198680.226689696,11480927.623466697,852519.121248092
 01/08  06:00:00,21795936.26488627,11404193.5541242,1683830.6757857385
 01/08  07:00:00,21245862.243426796,11656195.492945684,3246362.5741402134
 01/08  08:00:00,21197406.50976897,11580158.09112252,3832101.6787927332
 01/08  09:00:00,22468585.83711842,9944710.726619273,3697299.6151401703
 01/08  10:00:00,24748617.95657374,9511603.849184616,3350122.7381188525
 01/08  11:00:00,25340057.59302992,9069723.934342282,3599609.9003239567
 01/08  12:00:00,26983518.85583802,8881902.079640988,3036847.772871439
 01/08  13:00:00,28721057.514392085,8874701.016256362,2777968.230194142
 01/08  14:00:00,27093462.264456067,8979007.074863557,2646861.688035404
 01/08  15:00:00,26959971.014811333,8836265.925237985,2444375.0057066097
 01/08  16:00:00,27846257.756722562,8614789.149222158,2639203.859767012
 01/08  17:00:00,27381146.672273483,9951443.327634513,2683454.90361032
 01/08  18:00:00,25112505.831856243,10427726.81355051,3341118.412398173
 01/08  19:00:00,23452716.72328439,10712778.030443534,3219092.1900768946
 01/08  20:00:00,23304807.641905632,10914384.380268367,3160869.279882367
 01/08  21:00:00,22685800.184463415,11174437.06172394,2987210.6699772286
 01/08  22:00:00,21070253.697848223,11697903.94377943,2446930.3157178937
 01/08  23:00:00,18839796.03528593,12443451.388776718,2223015.708708585
 01/08  24:00:00,18743980.581218146,12563300.375915049,1578810.4041313499
 01/09  01:00:00,19300195.007063404,12346349.864393365,1204800.7022985157
 01/09  02:00:00,14222442.886761712,13719850.572318323,643679.4463901984
 01/09  03:00:00,15030296.691257507,14772925.527850583,919978.4782696229
 01/09  04:00:00,15240904.146331389,15285603.668686764,748807.7188895043
 01/09  05:00:00,14914707.242012162,15798783.030436853,817503.8020887788
 01/09  06:00:00,14706764.494290281,15974342.353221005,1616491.4026305666
 01/09  07:00:00,14707271.622491486,19390493.20317712,3505957.944796077
 01/09  08:00:00,14729892.25942041,17005651.554169796,4017534.0761285727
 01/09  09:00:00,16667006.430688696,15637079.744290661,4987628.003998889
 01/09  10:00:00,33618563.65346377,16653072.612006633,5102808.408073167
 01/09  11:00:00,32133967.853098452,16662010.52692086,5379790.670578049
 01/09  12:00:00,30390491.201158617,17619524.171244618,5081751.728893449
 01/09  13:00:00,33519364.23404334,16107110.293562267,4976306.300906057
 01/09  14:00:00,36213170.160431795,14635075.82194508,4935371.6348837
 01/09  15:00:00,40876487.4799422,13713701.582924563,4311351.213613597
 01/09  16:00:00,41726199.29593022,13809594.825128576,4349953.668475754
 01/09  17:00:00,40451144.41739501,13267644.748396084,3232575.0785647156
 01/09  18:00:00,39240333.05454957,13620975.214726577,3409824.5267493078
 01/09  19:00:00,22510849.648385465,9933306.501505801,3807060.727443198
 01/09  20:00:00,19862387.9027194,11060858.875568377,3635973.7507306477
 01/09  21:00:00,19806650.15231752,10641967.914490389,3172254.6287243883
 01/09  22:00:00,19168260.157906733,9701293.747792289,2634624.7527872976
 01/09  23:00:00,17236235.44629897,10442829.48371383,2239086.478190078
 01/09  24:00:00,15699234.187065829,13025909.27459416,1486506.09391846
 01/10  01:00:00,14682370.053829573,14243476.174076708,1101793.8283846383
 01/10  02:00:00,14702358.679943223,14538272.004883537,852961.0066236288
 01/10  03:00:00,14628221.161134992,15083313.17446967,781624.3220376447
 01/10  04:00:00,14681432.813861795,15588081.783452861,816904.4480978171
 01/10  05:00:00,14471894.418530514,16121481.755476179,782296.9044606537
 01/10  06:00:00,14478764.48052691,15923776.850982714,1527380.998328015
 01/10  07:00:00,14386475.693125922,19886127.252696525,3559193.7581685097
 01/10  08:00:00,13743279.289489526,18412639.484383672,4119882.8644517916
 01/10  09:00:00,15061500.641451778,17070663.661250997,4847791.892752086
 01/10  10:00:00,28826145.99559938,17700962.627074372,5241971.385637078
 01/10  11:00:00,32548883.461307142,16677438.830705179,5252379.766754707
 01/10  12:00:00,34003673.671024345,15952075.227728864,5131792.060813068
 01/10  13:00:00,36141250.048905484,15378026.37219857,4968594.016308825
 01/10  14:00:00,36566487.22674766,15214306.878372127,4999355.972894566
 01/10  15:00:00,38381726.158753075,14517857.190337403,4223729.345967876
 01/10  16:00:00,38524120.680267066,14583086.112753632,4390773.149789204
 01/10  17:00:00,39218109.73698576,13377658.642753992,3165675.704026577
 01/10  18:00:00,39784979.22186551,13806503.268873489,3347679.3566400916
 01/10  19:00:00,22903657.42282096,9823840.680705048,3910456.817115414
 01/10  20:00:00,18805372.40731465,10865720.850290895,3771365.505202399
 01/10  21:00:00,17119726.783854153,11957837.969035953,3155053.10477006
 01/10  22:00:00,16650396.531370599,10597547.968684683,2505262.361026882
 01/10  23:00:00,17168834.61270119,10648884.426600324,2222549.3033725712
 01/10  24:00:00,16862681.035111934,12188128.553974204,1604831.355814115
 01/11  01:00:00,16479971.454388523,13092110.316997502,1184726.3032847834
 01/11  02:00:00,15641811.817563558,14290068.604222575,676213.7414510917
 01/11  03:00:00,14677663.699555987,15001619.946869254,922968.951282289
 01/11  04:00:00,14410448.982271815,15518890.653765809,746472.9802649956
 01/11  05:00:00,14461155.176734151,15660637.143973904,782334.7267108058
 01/11  06:00:00,15098290.08286392,14911004.970593406,1468469.9671721794
 01/11  07:00:00,15762309.491644863,16825728.66081208,3621735.559728496
 01/11  08:00:00,15629017.511435574,14844096.448650207,4015246.4852078967
 01/11  09:00:00,15780293.419846034,16507822.64383604,4882780.782027818
 01/11  10:00:00,27101599.460360814,19867266.89118637,5343675.805518498
 01/11  11:00:00,27783548.333895594,19575176.577308316,5245938.489449944
 01/11  12:00:00,30568356.658514094,16897384.906226534,5150010.241548423
 01/11  13:00:00,35554196.033641174,15281272.010743782,4968331.750407998
 01/11  14:00:00,38015592.21969998,14894240.967182899,5000713.603553128
 01/11  15:00:00,38797647.3635976,14084020.27993898,4191143.06499686
 01/11  16:00:00,41296997.96337274,13238033.508569185,4325732.576459901
 01/11  17:00:00,40106902.71725123,12806270.391431173,3340069.3508388083
 01/11  18:00:00,36157571.75714448,13813200.900276,3301978.5824335515
 01/11  19:00:00,21123768.419467088,9845445.455724653,3833063.697930237
 01/11  20:00:00,18322232.950394027,11508057.247234406,3780371.3655938553
 01/11  21:00:00,18422709.109057996,10840073.03205136,3194085.7839909624
 01/11  22:00:00,17489698.906918596,10145768.481612552,2402555.7578992317
 01/11  23:00:00,15719598.818801347,11486730.377043221,2399932.4792181486
 01/11  24:00:00,15098804.669963723,13633856.966165029,1543428.7158249698
 01/12  01:00:00,14832710.868488936,14384772.050712623,995653.6249524109
 01/12  02:00:00,14728101.24278304,14951996.199926017,888621.3825868107
 01/12  03:00:00,14337289.150897149,15598685.567177434,746609.3742098446
 01/12  04:00:00,14392411.651198916,15493469.198426345,887830.3301435818
 01/12  05:00:00,14260077.081730943,15932981.034624932,676357.4487015231
 01/12  06:00:00,13665240.197252454,16303914.697104787,1613153.2877249168
 01/12  07:00:00,13592069.211820709,20937285.514929917,3545151.578600384
 01/12  08:00:00,13338821.210521316,17962433.326476187,4154018.863755465
 01/12  09:00:00,15025577.466779208,16792717.146966275,4864483.551441889
 01/12  10:00:00,30497163.431098618,16731754.96100558,5157578.16114184
 01/12  11:00:00,36166867.16720366,15070977.035249889,5168949.95553965
 01/12  12:00:00,36631822.7861861,14657027.573035058,5329907.232304547
 01/12  13:00:00,42351237.59704972,13536374.742895959,4970487.183942091
 01/12  14:00:00,47891431.468553275,12971197.815415807,4745885.036865394
 01/12  15:00:00,49084642.55506858,12075886.299616171,4413026.197461666
 01/12  16:00:00,49135415.08221519,11917115.770976253,4255420.896008356
 01/12  17:00:00,47932316.76682508,12057696.672839127,3335056.1601282414
 01/12  18:00:00,42916905.948319875,12562054.032767767,3341311.696657213
 01/12  19:00:00,23731858.982018262,8545908.176497402,3907323.881448536
 01/12  20:00:00,21076175.179344345,9685440.908967974,3666217.5175892166
 01/12  21:00:00,18217594.709564723,10554955.651259802,3020256.3365935185
 01/12  22:00:00,17477668.287644487,9525909.847557757,2649782.5579839163
 01/12  23:00:00,19205064.011612467,9453445.342643715,2393322.5701808506
 01/12  24:00:00,17943504.702887747,11329987.482532961,1470782.0803809469
 01/13  01:00:00,16155707.226042453,13070668.93809351,1073601.4645786034
 01/13  02:00:00,15893258.049009081,13304858.813009238,888768.0071733396
 01/13  03:00:00,15946507.918390423,13632716.216423078,676167.122107503
 01/13  04:00:00,16125879.215544464,13526829.52430793,852642.7734252368
 01/13  05:00:00,16325719.24301449,13650521.132841714,786844.930147225
 01/13  06:00:00,15683312.969725879,14689035.134086592,1608217.6816874081
 01/13  07:00:00,15331207.421323607,17889445.821000185,3585277.233954827
 01/13  08:00:00,15705223.519492634,13802649.107507179,4015841.5833713533
 01/13  09:00:00,16593422.695710154,13827701.026827123,4941005.028994787
 01/13  10:00:00,31849513.705885533,15795185.25583456,5183083.533434471
 01/13  11:00:00,36798634.7259289,15031172.167637696,5281704.154645791
 01/13  12:00:00,37195754.10952478,14950265.874831613,5145378.751547472
 01/13  13:00:00,38927513.029262096,14145383.381284745,4935322.706183397
 01/13  14:00:00,41418973.31262793,13800344.345803834,4873762.733600985
 01/13  15:00:00,43410715.25803368,12880013.053172989,4429869.309077827
 01/13  16:00:00,43215476.20069631,12944890.409424828,4245585.494108937
 01/13  17:00:00,40953285.29258179,12455574.220326543,3310383.186398566
 01/13  18:00:00,39288328.35714144,13016755.254958833,3296973.1160065313
 01/13  19:00:00,23515284.89070792,8854086.432576945,3954806.052107338
 01/13  20:00:00,22771044.751936395,9285682.085344505,3668047.464102453
 01/13  21:00:00,21988513.162442885,9153808.887421945,3010270.019041963
 01/13  22:00:00,21373168.218986273,8738514.662065245,2581036.672796859
 01/13  23:00:00,20055700.366159014,9369722.809589254,2410842.981531009
 01/13  24:00:00,17546714.58471939,11090845.793739423,1608880.3796597784
 01/14  01:00:00,16797043.18609273,11561495.087621361,996164.2770917338
 01/14  02:00:00,13662681.053777432,12672324.878733812,853427.6326459198
 01/14  03:00:00,14420744.334292233,13513693.229229657,676313.108609676
 01/14  04:00:00,15293744.34928996,13726073.040295187,923367.0732709653
 01/14  05:00:00,15492721.95629472,13944038.321028132,818213.7358175755
 01/14  06:00:00,15019000.231202574,14453132.247572895,1541151.4131090438
 01/14  07:00:00,14303545.203962727,18545302.99672057,3499698.4739800463
 01/14  08:00:00,14600303.198095096,16848130.593228176,3788457.508600192
 01/14  09:00:00,15227622.274402533,13644773.46611423,3738940.1264772215
 01/14  10:00:00,28369018.05151479,16043463.458611233,3509002.179050223
 01/14  11:00:00,31181311.179672632,15192746.464817556,3484716.7809587307
 01/14  12:00:00,29262787.550304312,15214953.953988397,3140024.366620065
 01/14  13:00:00,33694692.54142277,13010248.963488089,2930217.513683815
 01/14  14:00:00,42499138.14237325,11659650.22858922,2525808.3537978437
 01/14  15:00:00,47729227.871504776,11527062.028309718,2621848.948340767
 01/14  16:00:00,48033096.83719527,11968058.909817602,2662760.9020946473
 01/14  17:00:00,45327205.736273535,12264878.680229716,2979703.8779834844
 01/14  18:00:00,26490993.563058883,7548713.238654636,3217928.6273076185
 01/14  19:00:00,25184057.64292882,9135919.37478017,3367893.484662097
 01/14  20:00:00,24615625.290849913,9504672.81987532,3074877.20517926
 01/14  21:00:00,23731302.53721312,9722135.930091111,2804380.4081525886
 01/14  22:00:00,21511610.160239834,10466493.844907563,2558650.887313857
 01/14  23:00:00,21257623.444582958,10621794.44208817,2364222.0218487815
 01/14  24:00:00,22458992.562632818,10600531.230429487,1644772.1509325388
 01/15  01:00:00,20047953.96097429,11784159.556614067,1019320.1104673429
 01/15  02:00:00,16460363.179759754,12762300.528901214,766540.7929913246
 01/15  03:00:00,14420469.55336172,13544919.626959443,747039.5950103468
 01/15  04:00:00,15782307.022368211,14153508.791979887,899060.7820998481
 01/15  05:00:00,15773308.597243289,14537211.890629087,913476.7362043194
 01/15  06:00:00,15780400.181321757,14327141.505116101,1469001.9703104352
 01/15  07:00:00,15791937.994316407,14555233.072332814,3512069.865979446
 01/15  08:00:00,15804761.98745375,14328769.81536138,3701713.466257424
 01/15  09:00:00,19287418.435536116,11175538.06386031,3650065.448594705
 01/15  10:00:00,24326944.73148135,9205693.462167876,3585804.4932955317
 01/15  11:00:00,27822488.96392878,8216860.2329946365,3436518.1246485547
 01/15  12:00:00,29881847.65257194,7890740.996778271,3027244.4898647578
 01/15  13:00:00,37074169.311322585,7768086.1241812045,2827962.82942906
 01/15  14:00:00,44997930.01252536,7562040.643757021,2534561.556277057
 01/15  15:00:00,53798259.013313875,7401293.756571154,2560771.387127699
 01/15  16:00:00,59612063.021718524,7451222.907579374,2532922.1589877675
 01/15  17:00:00,51580579.11028579,8929772.505018687,2868270.4876244483
 01/15  18:00:00,41388430.51773359,9364875.982144149,3204164.061957889
 01/15  19:00:00,36730975.560747504,9479918.41694291,3308638.2512083882
 01/15  20:00:00,38962348.77152656,9622428.90136564,3072844.729883984
 01/15  21:00:00,34528559.13688391,9835218.904285856,2925717.471486086
 01/15  22:00:00,32023513.084544368,10018003.533414612,2545168.6632824913
 01/15  23:00:00,32422302.053688128,10051887.883468024,2327895.186357695
 01/15  24:00:00,30026781.46572936,10222350.273338428,1543639.155098428
 01/16  01:00:00,25577051.75240815,10675848.777840476,1067184.570962763
 01/16  02:00:00,23802884.81781739,10927542.76371496,818334.7049771404
 01/16  03:00:00,23782685.332453225,11083322.740139455,817728.749329487
 01/16  04:00:00,25004033.11849261,11241441.749736449,782437.2433342355
 01/16  05:00:00,25644911.269507747,11437726.420722716,783007.3686749652
 01/16  06:00:00,24344912.48451444,11683582.604519583,1541383.4825211545
 01/16  07:00:00,21194892.08465659,12539301.050046125,3622732.724248006
 01/16  08:00:00,20902425.101503562,12200594.965010652,3635072.684983354
 01/16  09:00:00,24301846.99874886,9524825.721356845,3645662.290698821
 01/16  10:00:00,28638365.41569441,8187658.99269982,3651715.8371001966
 01/16  11:00:00,32701395.485098105,7581970.529661156,3332102.9808129915
 01/16  12:00:00,36089506.38805611,7537996.175001575,3060687.2888997863
 01/16  13:00:00,37998938.81335218,7520779.472621758,2807886.749084476
 01/16  14:00:00,40187491.92571671,7437441.014708522,2529301.9885458807
 01/16  15:00:00,44266145.59953302,7246626.637616443,2589339.76582023
 01/16  16:00:00,44069259.01788556,7167107.656364601,2497455.058997959
 01/16  17:00:00,36259931.27245299,8466893.65474012,2975008.0051528
 01/16  18:00:00,31795372.68157348,8888574.183593689,3133867.8623798485
 01/16  19:00:00,32124574.948624276,9102034.246332029,3377841.465265596
 01/16  20:00:00,26867940.357515268,9627272.493322756,3088079.330164247
 01/16  21:00:00,23980124.58687843,9808832.669630302,2815544.834015626
 01/16  22:00:00,24383054.839989953,10004872.347700305,2497136.244455423
 01/16  23:00:00,25579725.926883254,9981650.06912048,2400281.725375563
 01/16  24:00:00,25823229.242523007,10192415.93299743,1623582.9476234198
 01/17  01:00:00,22326547.97028779,10846617.879039427,819330.307477172
 01/17  02:00:00,21700704.733682595,11166037.757857218,987704.8720439743
 01/17  03:00:00,22192018.13807555,11387752.061944656,711963.7783637242
 01/17  04:00:00,22203817.440260306,11631403.26681629,1029608.1096730042
 01/17  05:00:00,22080268.05653926,11839283.844025156,750694.7350582136
 01/17  06:00:00,20101592.907942325,12443684.909250582,1502337.123888348
 01/17  07:00:00,18629638.933014903,14537187.539582819,3565544.857592131
 01/17  08:00:00,18328550.889042012,12314372.836043023,4074229.258880897
