Program Version:,EnergyPlus, Version 9.0.1-bb7ca4f0da, YMD=2021.05.30 23:36
Tabular Output Report in Format: ,Comma

Building:,OfficeLarge
Environment:,RUNPERIOD 1 ** SAN_FRANCISCO CA USA TMY2-23234 WMO#=724940

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,26227.03,566.21,566.21
,Net Site Energy,26227.03,566.21,566.21
,Total Source Energy,81290.44,1754.96,1754.96
,Net Source Energy,81290.44,1754.96,1754.96


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.300
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,46320.38
,Net Conditioned Building Area,46320.38
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Additional Fuel [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,0.00,299.40,0.00,0.00,0.00,0.00
,Cooling,1417.60,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,3419.25,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,680.57,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,14676.31,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,1980.76,0.00,0.00,0.00,0.00,0.00
,Fans,1952.13,0.00,0.00,0.00,0.00,0.00
,Pumps,248.99,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,550.54,0.00,0.00,0.00,0.00,1792.29
,Humidification,450.88,0.00,0.00,0.00,0.00,167.73
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,550.61,0.00,0.00,0.00,2280.17
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,25377.02,850.01,0.00,0.00,0.00,4240.19
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Additional Fuel [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,Boiler,0.00,299.40,0.00,0.00,0.00,0.00
